"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"aadA1",99.75,"792/792",100,"1..792","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","9093..9884","Spectinomycin, Streptomycin","JX185132","GCA_045951185.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","9093..9884","Spectinomycin, Streptomycin","JQ414041","GCA_045951185.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","2099..2935","Streptomycin","M28829","GCA_045951185.1"
"aph(3')-Ia",99.88,"816/816",100,"1..816","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","3271..4086","Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin","EF015636","GCA_045951185.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","1297..2099","Streptomycin","AF024602","GCA_045951185.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","1296..2099","Streptomycin","AF321551","GCA_045951185.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","1296..2099","Streptomycin","AF313472","GCA_045951185.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCV010000062.1 Escherichia coli strain 50508 contig00062, whole genome shotgun sequence","1296..2099","Streptomycin","AF321550","GCA_045951185.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","8150..8980","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045951185.1"
"blaTEM-33",100,"861/861",100,"1..861","JBICCV010000074.1 Escherichia coli strain 50508 contig00074, whole genome shotgun sequence","325..1185","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","GU371926","GCA_045951185.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","35564..37189","Colistin","KP347127","GCA_045951185.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","934..2148","Chloramphenicol,Florfenicol","CP136914","GCA_045951185.1"
"sul1",100,"840/840",100,"1..840","JBICCV010000008.1 Escherichia coli strain 50508 contig00008, whole genome shotgun sequence","10389..11228","Sulfamethoxazole","U12338","GCA_045951185.1"
"sul2",100,"816/816",100,"1..816","JBICCV010000117.1 Escherichia coli strain 50508 contig00117, whole genome shotgun sequence","11..826","Sulfamethoxazole","AY034138","GCA_045951185.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICCV010000054.1 Escherichia coli strain 50508 contig00054, whole genome shotgun sequence","4336..5541","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045951185.1"
"dfrA36",100,"588/588",100,"1..588","JBICCV010000085.1 Escherichia coli strain 50508 contig00085, whole genome shotgun sequence","451..1038","Trimethoprim","CP038791","GCA_045951185.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","7836..8627","Spectinomycin, Streptomycin","JX185132","GCA_045951205.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","7836..8627","Spectinomycin, Streptomycin","JQ414041","GCA_045951205.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","1093..1929","Streptomycin","M28829","GCA_045951205.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","291..1093","Streptomycin","AF024602","GCA_045951205.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","290..1093","Streptomycin","AF321551","GCA_045951205.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","290..1093","Streptomycin","AF313472","GCA_045951205.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","290..1093","Streptomycin","AF321550","GCA_045951205.1"
"blaTEM-234",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Unknown Beta-lactam","MH243353","GCA_045951205.1"
"blaTEM-217",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Unknown Beta-lactam","HG934763","GCA_045951205.1"
"blaTEM-198",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Unknown Beta-lactam","AB700703","GCA_045951205.1"
"blaTEM-163",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","EU815939","GCA_045951205.1"
"blaTEM-122",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AY307100","GCA_045951205.1"
"blaTEM-104",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Unknown Beta-lactam","AF516719","GCA_045951205.1"
"blaTEM-99",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AF397066","GCA_045951205.1"
"blaTEM-30",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ437107","GCA_045951205.1"
"blaTEM-1B",100,"698/861",81.068524970964,"19..716","JBICCZ010000176.1 Escherichia coli strain 50503 contig00176, whole genome shotgun sequence","1..698","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045951205.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCZ010000078.1 Escherichia coli strain 50503 contig00078, whole genome shotgun sequence","1025..2650","Colistin","KP347127","GCA_045951205.1"
"mph(A)",100,"906/906",100,"1..906","JBICCZ010000105.1 Escherichia coli strain 50503 contig00105, whole genome shotgun sequence","180..1085","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045951205.1"
"erm(B)",99.86,"738/738",100,"1..738","JBICCZ010000138.1 Escherichia coli strain 50503 contig00138, whole genome shotgun sequence","164..901","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","JN899585","GCA_045951205.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICCZ010000068.1 Escherichia coli strain 50503 contig00068, whole genome shotgun sequence","4108..5322","Chloramphenicol,Florfenicol","CP136914","GCA_045951205.1"
"catA1",99.81,"538/660",81.5151515151515,"123..660","JBICCZ010000123.1 Escherichia coli strain 50503 contig00123, whole genome shotgun sequence","110..647","Chloramphenicol","V00622","GCA_045951205.1"
"sul1",100,"840/840",100,"1..840","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","9132..9971","Sulfamethoxazole","U12338","GCA_045951205.1"
"sul2",100,"816/816",100,"1..816","JBICCZ010000057.1 Escherichia coli strain 50503 contig00057, whole genome shotgun sequence","1769..2584","Sulfamethoxazole","AY034138","GCA_045951205.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICCZ010000064.1 Escherichia coli strain 50503 contig00064, whole genome shotgun sequence","4189..5394","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045951205.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","7270..7743","Trimethoprim","AF203818","GCA_045951205.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","7270..7743","Trimethoprim","AJ238350","GCA_045951205.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCZ010000045.1 Escherichia coli strain 50503 contig00045, whole genome shotgun sequence","7270..7743","Trimethoprim","X00926","GCA_045951205.1"
"aadA1",100,"792/792",100,"1..792","JBICDA010000026.1 Escherichia coli strain 50502 contig00026, whole genome shotgun sequence","12383..13174","Spectinomycin, Streptomycin","JQ414041","GCA_045951285.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICDA010000026.1 Escherichia coli strain 50502 contig00026, whole genome shotgun sequence","11792..12325","Gentamicin, Tobramycin","X04555","GCA_045951285.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","5480..6316","Streptomycin","M28829","GCA_045951285.1"
"aph(3')-Ia",99.88,"816/816",100,"1..816","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","4329..5144","Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin","EF015636","GCA_045951285.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","6316..7118","Streptomycin","AF024602","GCA_045951285.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","6316..7119","Streptomycin","AF321551","GCA_045951285.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","6316..7119","Streptomycin","AF313472","GCA_045951285.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","6316..7119","Streptomycin","AF321550","GCA_045951285.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDA010000070.1 Escherichia coli strain 50502 contig00070, whole genome shotgun sequence","680..1540","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045951285.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDA010000064.1 Escherichia coli strain 50502 contig00064, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045951285.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICDA010000026.1 Escherichia coli strain 50502 contig00026, whole genome shotgun sequence","4251..5465","Chloramphenicol,Florfenicol","CP136914","GCA_045951285.1"
"sul1",100,"840/840",100,"1..840","JBICDA010000026.1 Escherichia coli strain 50502 contig00026, whole genome shotgun sequence","15059..15898","Sulfamethoxazole","U12338","GCA_045951285.1"
"sul2",100,"816/816",100,"1..816","JBICDA010000085.1 Escherichia coli strain 50502 contig00085, whole genome shotgun sequence","11..826","Sulfamethoxazole","AY034138","GCA_045951285.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICDA010000048.1 Escherichia coli strain 50502 contig00048, whole genome shotgun sequence","11070..12275","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045951285.1"
"dfrA36",100,"588/588",100,"1..588","JBICDA010000026.1 Escherichia coli strain 50502 contig00026, whole genome shotgun sequence","451..1038","Trimethoprim","CP038791","GCA_045951285.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICDB010000089.1 Escherichia coli strain 50490 contig00089, whole genome shotgun sequence","2228..3088","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045951325.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDB010000128.1 Escherichia coli strain 50490 contig00128, whole genome shotgun sequence","1000..1836","Streptomycin","M28829","GCA_045951325.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDB010000128.1 Escherichia coli strain 50490 contig00128, whole genome shotgun sequence","197..1000","Streptomycin","AF321551","GCA_045951325.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDB010000144.1 Escherichia coli strain 50490 contig00144, whole genome shotgun sequence","177..992","Kanamycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","X62115","GCA_045951325.1"
"aadA24",98.63,"729/780",93.4615384615385,"9..737","JBICDB010000199.1 Escherichia coli strain 50490 contig00199, whole genome shotgun sequence","1..729","Spectinomycin, Streptomycin","DQ677333","GCA_045951325.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICDB010000148.1 Escherichia coli strain 50490 contig00148, whole genome shotgun sequence","235..1065","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045951325.1"
"blaTEM-234",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Unknown Beta-lactam","MH243353","GCA_045951325.1"
"blaTEM-217",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Unknown Beta-lactam","HG934763","GCA_045951325.1"
"blaTEM-198",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Unknown Beta-lactam","AB700703","GCA_045951325.1"
"blaTEM-104",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Unknown Beta-lactam","AF516719","GCA_045951325.1"
"blaTEM-30",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ437107","GCA_045951325.1"
"blaTEM-1B",100,"716/861",83.1591173054588,"1..716","JBICDB010000183.1 Escherichia coli strain 50490 contig00183, whole genome shotgun sequence","1..716","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045951325.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDB010000032.1 Escherichia coli strain 50490 contig00032, whole genome shotgun sequence","49084..50709","Colistin","KP347127","GCA_045951325.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICDB010000110.1 Escherichia coli strain 50490 contig00110, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045951325.1"
"catA1",99.85,"660/660",100,"1..660","JBICDB010000113.1 Escherichia coli strain 50490 contig00113, whole genome shotgun sequence","2071..2730","Chloramphenicol","V00622","GCA_045951325.1"
"sul1",100,"840/840",100,"1..840","JBICDB010000136.1 Escherichia coli strain 50490 contig00136, whole genome shotgun sequence","491..1330","Sulfamethoxazole","U12338","GCA_045951325.1"
"sul2",100,"791/819",96.5811965811966,"1..791","JBICDB010000169.1 Escherichia coli strain 50490 contig00169, whole genome shotgun sequence","303..1093","Sulfamethoxazole","AJ514834","GCA_045951325.1"
"sul2",100,"791/852",92.8403755868545,"1..791","JBICDB010000169.1 Escherichia coli strain 50490 contig00169, whole genome shotgun sequence","303..1093","Sulfamethoxazole","FJ197818","GCA_045951325.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDB010000169.1 Escherichia coli strain 50490 contig00169, whole genome shotgun sequence","303..1093","Sulfamethoxazole","AY034138","GCA_045951325.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDB010000102.1 Escherichia coli strain 50490 contig00102, whole genome shotgun sequence","1848..3047","Doxycycline, Tetracycline","AJ517790","GCA_045951325.1"
"dfrA36",100,"588/588",100,"1..588","JBICDB010000121.1 Escherichia coli strain 50490 contig00121, whole genome shotgun sequence","513..1100","Trimethoprim","CP038791","GCA_045951325.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDB010000182.1 Escherichia coli strain 50490 contig00182, whole genome shotgun sequence","241..714","Trimethoprim","AF203818","GCA_045951325.1"
